"Source:","D:\Users\Natman\Documents\KiCad\CopperReceiver\Copper Receiver Module.sch"
"Date:","2/15/2018 6:56:26 PM"
"Tool:","Eeschema (2018-01-07 revision 6cee19d37)-makepkg"
"Component Count:","103"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"0V_ISO1","Conn_01x01_Female","CustomParts:SinglePad","","",""
"0V_RCV1","Conn_01x01_Female","CustomParts:SinglePad","","",""
"3V3_ISO1","Conn_01x01_Female","CustomParts:SinglePad","","",""
"3V3_RCV1","Conn_01x01_Female","CustomParts:SinglePad","","",""
"C4","1nF","Capacitors_SMD:C_0603","","","490-1494-1-ND"
"C5","100nF","Capacitors_SMD:C_0603","","","490-1532-1-ND"
"C7","100nF","Capacitors_SMD:C_0603","","","490-1532-1-ND"
"C8","1nF","Capacitors_SMD:C_0603","","","490-1494-1-ND"
"C9","100nF","Capacitors_SMD:C_0603","","","490-1532-1-ND"
"C10","1nF","Capacitors_SMD:C_0603","","","490-1494-1-ND"
"C11","1nF","Capacitors_SMD:C_0603","","","490-1494-1-ND"
"C12","100nF","Capacitors_SMD:C_0603","","","490-1532-1-ND"
"C13","1nF","Capacitors_SMD:C_0603","","","490-1494-1-ND"
"C14","100nF","Capacitors_SMD:C_0603","","","490-1532-1-ND"
"C15","100nF","Capacitors_SMD:C_0603","","","490-1532-1-ND"
"C16","1nF","Capacitors_SMD:C_0603","","","490-1494-1-ND"
"C51","1nF","Capacitors_SMD:C_0603","","","490-1494-1-ND"
"C52","1nF","Capacitors_SMD:C_0603","","","490-1494-1-ND"
"C53","1nF","Capacitors_SMD:C_0603","","","490-1494-1-ND"
"C54","1nF","Capacitors_SMD:C_0603","","","490-1494-1-ND"
"C55","1nF","Capacitors_SMD:C_0603","","","490-1494-1-ND"
"C56","1nF","Capacitors_SMD:C_0603","","","490-1494-1-ND"
"C57","1nF","Capacitors_SMD:C_0603","","","490-1494-1-ND"
"C58","10uF","Capacitors_SMD:C_1210","","","490-1867-1-ND"
"C59","470nF","Capacitors_SMD:C_0603","","","490-3291-1-ND"
"C62","470nF","Capacitors_SMD:C_0603","","","490-3291-1-ND"
"C63","10uF","Capacitors_SMD:C_1210","","","490-1867-1-ND"
"C64","10uF","Capacitors_SMD:C_1210","","","490-1867-1-ND"
"C65","470nF","Capacitors_SMD:C_0603","","","490-3291-1-ND"
"C68","470nF","Capacitors_SMD:C_0603","","","490-3291-1-ND"
"C69","10uF","Capacitors_SMD:C_1210","","","490-1867-1-ND"
"C70","10uF","Capacitors_SMD:C_1210","","","490-1867-1-ND"
"C71","47uF","Capacitors_SMD:C_0805","","","511-1682-1-ND"
"C76","47uF","Capacitors_SMD:C_0805","","","511-1682-1-ND"
"C77","10uF","Capacitors_SMD:C_1210","","","490-1867-1-ND"
"C78","10uF","Capacitors_SMD:C_1210","","","490-1867-1-ND"
"C79","47uF","Capacitors_SMD:C_0805","","","511-1682-1-ND"
"C84","47uF","Capacitors_SMD:C_0805","","","511-1682-1-ND"
"C85","10uF","Capacitors_SMD:C_1210","","","490-1867-1-ND"
"IC1","LT3042","Copper Receiver Module:MSOP-10_MSE","","",""
"IC2","LT3042","Copper Receiver Module:MSOP-10_MSE","","",""
"IC3","LT3042","Copper Receiver Module:MSOP-10_MSE","","",""
"IC4","LT3042","Copper Receiver Module:MSOP-10_MSE","","",""
"IC5","PO100HSTL32A","Copper Receiver Module:SOIC-16","","",""
"IC7","PO74G86A","Copper Receiver Module:SO-14","","",""
"ISO1","ISO150AU","Copper Receiver Module:SO28-3-ISO150","","",""
"ISO2","ISO150AU","Copper Receiver Module:SO28-3-ISO150","","",""
"JP1","LRCLK","CustomParts:SOLDER-JUMPER_1-WAY","","",""
"JP2","D-","CustomParts:SOLDER-JUMPER_1-WAY","","",""
"JP3","D+","CustomParts:SOLDER-JUMPER_1-WAY","","",""
"JP4","CLK","CustomParts:SOLDER-JUMPER_1-WAY","","",""
"JP13","JUMPER-SMT_2_NO_SILK","CustomParts:SOLDER-JUMPER_1-WAY","","",""
"JP14","JUMPER-SMT_2_NO_SILK","CustomParts:SOLDER-JUMPER_1-WAY","","",""
"JP15","JUMPER-SMT_2_NO_SILK","CustomParts:SOLDER-JUMPER_1-WAY","","",""
"JP72","JUMPER-SMT_2_NO_SILK","CustomParts:SOLDER-JUMPER_1-WAY","","",""
"JP73","JUMPER-SMT_2_NO_SILK","CustomParts:SOLDER-JUMPER_1-WAY","","",""
"JP74","JUMPER-SMT_2_NO_SILK","CustomParts:SOLDER-JUMPER_1-WAY","","",""
"JP75","JUMPER-SMT_2_NO_SILK","CustomParts:SOLDER-JUMPER_1-WAY","","",""
"JP80","JUMPER-SMT_2_NO_SILK","CustomParts:SOLDER-JUMPER_1-WAY","","",""
"JP81","JUMPER-SMT_2_NO_SILK","CustomParts:SOLDER-JUMPER_1-WAY","","",""
"JP82","JUMPER-SMT_2_NO_SILK","CustomParts:SOLDER-JUMPER_1-WAY","","",""
"JP83","JUMPER-SMT_2_NO_SILK","CustomParts:SOLDER-JUMPER_1-WAY","","",""
"L72","60/20/5","Copper Receiver Module:RESC0805_N","","","MH2029-600YCT-ND"
"L73","60/20/5","Copper Receiver Module:RESC0805_N","","","MH2029-600YCT-ND"
"L74","60/20/5","Copper Receiver Module:RESC0805_N","","","MH2029-600YCT-ND"
"L75","60/20/5","Copper Receiver Module:RESC0805_N","","","MH2029-600YCT-ND"
"L80","60/20/5","Copper Receiver Module:RESC0805_N","","","MH2029-600YCT-ND"
"L81","60/20/5","Copper Receiver Module:RESC0805_N","","","MH2029-600YCT-ND"
